BCRcode,TPC_FREE,TFC_FREE,TPAC_FREE,TPC_BOUND,TFC_Bound,TPAC_BOUND,TAC_Bound,DPPH_Free,DPPH_Bound,Folate,Panthothenic_acid,a_tocopherol,Riboflavin,Na,Zn ,Fe 
bcr365,77.6666667,73.0987654,42.4814815,91.7142857,22.8722222,6.00316456,57.5524255,0.25375218,0.047585535,53800000,2.07E+08,1817360.2,3899286.5,40,32,15
bcr367,176.308642,142.234568,101.740741,65.7619048,15.65,4.72679325,72.7329203,0.07344501,0.055497733,2.10E+07,2.63E+08,5104733.5,4671567.5,20,25,15
bcr368,56.6790124,41.4285714,26.5189873,24.6904762,8.26111111,4.93776371,8.14174481,0.60796563,0.230831187,26700000,1.84E+08,2166805.8,6364358.5,20,29,13
bcr375,243.345679,145.320988,165.444444,39.8095238,16.7611111,5.60232068,20.7459672,0.07069528,0.011809088,46900000,3.17E+08,2014012.2,5413243.5,30,22,15
bcr376,485.095238,204.674074,76.2067511,23.8571429,6.79746835,4.82222222,0,0.11994652,0.02760909,31800000,3.93E+08,4244844,7036263,10,24,12
bcr378,176.061728,199.365079,87.278481,11.3722222,15.1666667,4.7056962,30.3053835,0.28722135,0.111552067,74700000,2.36E+08,1519983.1,4530586,20,26,13
bcr379,93.9074074,41.8703704,26.5,12.8351852,0.28571429,4.08333333,1.45078963,0.04721419,0.009211298,25800000,2.46E+08,7922593.5,885997.9,20,14,11
bcr381,71.9876543,25.5555556,27.2925457,13.612963,10.1666667,5.34915612,5.81966823,0.23577437,0.003332776,39700000,2.48E+08,2543768,4970404,10,21,10
bcr383,217.425926,150.388889,115.388889,36.952381,11.4648148,5.48628692,0,0.00683637,0.003169899,38300000,3.43E+08,2089803.5,3101256.5,30,19,14
bcr384,128.901235,46.8024691,30.7530864,50.4047619,15.0574074,5.23312236,0,0.05186433,0.055073035,4.00E+07,2.44E+08,1634690.6,2405186.5,30,19,15
bcr385,78.9012346,50.3827161,41.4938272,23.5,11.7425926,5.4757384,0,0.18536581,0.033299285,48100000,3.23E+08,1757075.8,5096506,60,24,16
bcr386,40.6296296,39.733092,15.5485232,19.3333333,9.02037037,3.77742616,45.8217398,0.58909965,0.191776789,21800000,1.62E+08,2277541.2,931333.9,20,21,13
